,Region,Track_Name,Rank,Artist,Cluster
218,gb,For You (Fifty Shades Freed) (& Rita Ora),218,Liam Payne,3
219,gb,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),219,Major Lazer,0
220,gb,How Would You Feel (Paean),220,Ed Sheeran,3
221,gb,Only You (with Little Mix),221,Cheat Codes,0
222,gb,Driving Home for Christmas,222,Chris Rea,3
223,gb,Lost Without You,223,Freya Ridings,2
224,gb,Merry Christmas Everyone - Remastered,224,Shakin' Stevens,0
225,gb,Don’t Matter To Me (with Michael Jackson),225,Drake,2
226,gb,Moonlight,226,XXXTENTACION,1
227,gb,rockstar (feat. 21 Savage),227,Post Malone,3
228,gb,Barcelona,228,Ed Sheeran,0
229,gb,Dive,229,Ed Sheeran,3
230,gb,Close To Me (with Diplo) (feat. Swae Lee),230,Ellie Goulding,3
231,gb,Bad Things (with Camila Cabello),231,Machine Gun Kelly,3
232,gb,Gucci Gang,232,Lil Pump,1
233,gb,Blem,233,Drake,1
234,gb,No More Sad Songs,234,Little Mix,0
235,gb,By Your Side,235,Jonas Blue,0
236,gb,Oh My,236,Dappy,1
237,gb,Now and Later,237,Sage The Gemini,1
238,gb,You Want Me,238,Tom Zanetti,1
239,gb,Best Life,239,Hardy Caprio,0
240,gb,Falling Down - Bonus Track,240,Lil Peep,3
241,gb,Skin,241,Rag'n'Bone Man,3
242,gb,Mi Gente (feat. Beyoncé),242,J Balvin,0
243,gb,There for You,243,Martin Garrix,3
244,gb,Arms Around You (feat. Maluma & Swae Lee),244,XXXTENTACION,0
245,gb,Rockin' Around The Christmas Tree,245,Brenda Lee,1
246,gb,FEFE (feat. Nicki Minaj & Murda Beatz),246,6ix9ine,1
247,gb,One Dance,247,Drake,3
248,gb,Bad Liar,248,Imagine Dragons,1
249,gb,Supermarket Flowers,249,Ed Sheeran,2
250,gb,Bouff Daddy,250,J Hus,0
251,gb,1999,251,Charli XCX,0
252,gb,Jocelyn Flores,252,XXXTENTACION,1
253,gb,Water Under the Bridge,253,Adele,0
254,gb,The Mack,254,Nevada,0
255,gb,Shed a Light,255,Robin Schulz,3
256,gb,It's the Most Wonderful Time of the Year,256,Andy Williams,2
257,gb,MIA (feat. Drake),257,Bad Bunny,1
258,gb,Don’t Matter To Me,258,Drake,2
259,gb,Bad and Boujee (feat. Lil Uzi Vert),259,Migos,0
260,gb,Like I Do,260,David Guetta,3
261,gb,when the party's over,261,Billie Eilish,2
262,gb,The Other Side,262,Hugh Jackman,3
263,gb,If I'm Lucky,263,Jason Derulo,0
264,gb,White Christmas,264,Bing Crosby,2
265,gb,Nancy Mulligan,265,Ed Sheeran,0
266,gb,24K Magic,266,Bruno Mars,0
267,gb,Most Girls,267,Hailee Steinfeld,1
268,gb,Rockin' Around The Christmas Tree - Single Version,268,Brenda Lee,1
269,gb,More Than You Know,269,Axwell /\ Ingrosso,0
270,gb,The Cure,270,Lady Gaga,3
271,gb,Nothing Breaks Like a Heart (feat. Miley Cyrus),271,Mark Ronson,3
272,gb,The Ringer,272,Eminem,3
273,gb,"Let Me Go (with Alesso, Florida Georgia Line & watt)",273,Hailee Steinfeld,0
274,gb,Mistletoe,274,Justin Bieber,1
275,gb,Cold,275,Maroon 5,0
276,gb,Paranoid,276,Post Malone,3
